cls,board
C_Group,NCCUNewBoard
C_Group,NCCU_BM
B_Group,NTU_Newboard
B_Group,NTU_Service
I_Group,C_NewBoard
I_Group,C_Enter
A_Group,Announce
A_Group,Record
A_Group,SYSOP
D_Group,SENIOR_BM
D_Group,SENIORHIGH
D_Group,V_ScHooL
D_Group,juniorhigh
C_Group>StudentGroup,NCCURPH
C_Group>StudentGroup,FreshCamp10
C_Group>Discuss,NCCU_Info
C_Group>Discuss,NCCU_ICE
C_Group>Discuss,NCCU_SHUAI
C_Group>Discuss,NCCU_NICEBOY
C_Group>Discuss,NCCU
C_Group>Discuss,NCCU_BEAUTY
C_Group>Discuss,NCCU_Exam
C_Group>Discuss,NCCU_thanks
C_Group>NCCU70X,NCCU00_CS
C_Group>NCCU60X,NCCU-ILI
C_Group>NCCU60X,NCCULawClub
C_Group>NCCU40X,IMICS
C_Group>NCCU40X,NCCU_CCUDP
C_Group>NCCU40X,NCCU02_MJOUR
C_Group>NCCU40X,NCCU04_MJOUR
C_Group>NCCU40X,NCCU05_MJOUR
C_Group>NCCU40X,NCCU06_MJOUR
C_Group>NCCU40X,NCCU07_MJOUR
C_Group>NCCU40X,NCCU08_MJOUR
C_Group>NCCU40X,NCCU09_MJOUR
C_Group>NCCU40X,NCCU10_MJOUR
C_Group>NCCU40X,NCCU01_JOUR
C_Group>NCCU40X,NCCU98_JOUR
C_Group>NCCU40X,NCCU02_AD
C_Group>NCCU40X,NCCU98_AD
C_Group>NCCU40X,NCCU01_MAD
C_Group>NCCU40X,NCCU06_MAD
C_Group>NCCU40X,NCCU07_MAD
C_Group>NCCU40X,NCCU08_MAD
C_Group>NCCU40X,NCCU09_MAD
C_Group>NCCU40X,NCCU03_RTV
C_Group>NCCU40X,NCCU04_RTV
C_Group>NCCU30X,NCCU_ETP
C_Group>NCCU30X,NCCUcommerce
C_Group>NCCU30X,NCCU99_MIS
C_Group>NCCU10X,NCCU06_ECE
C_Group>NCCU10X,NCCU_CHI_TCH
C_Group>NCCU10X,NCCU_EDU
C_Group>NCCU10X,NCCU_EDUGRAD
C_Group>NCCU10X,NCCU_TCSL_97
G_Group>Radio_Club,radio
G_Group>Radio_Club,WebRadio
G_Group>Stage,XiangSheng
G_Group>Stage,BROADWAY
G_Group>Stage,Drama
G_Group>Stage,Drama-Ticket
G_Group>Stage,Takarazuka
G_Group>Stage,tenimyu
G_Group>Stage,dance
G_Group>Stage,Dance_Sport
G_Group>Stage,TWopera
G_Group>Stage,ZephyrOpera
G_Group>Movies,StarWars
G_Group>Movies,TheMatrix
G_Group>Movies,Movie-Score
G_Group>Movies,AnimMovie
G_Group>Movies,AsiaMovies
G_Group>Movies,boxoffice
G_Group>Movies,Crime_Movie
G_Group>Movies,Disney
G_Group>Movies,documentary
G_Group>Movies,HK-movie
G_Group>Movies,Horror
G_Group>Movies,India-movie
G_Group>Movies,Indie-Film
G_Group>Movies,JapanMovie
G_Group>News,Reporter
G_Group>News,AppleDaily
G_Group>News,EpochTimes
G_Group>News,media-chaos
G_Group>News,Magazine
G_Group>Buzz_Museum,Buzz_Memory
G_Group>Movies,Ourmovies
G_Group>Movies,Theater
G_Group>Movies,movie
G_Group>Movies,Video
G_Group>Movies,Scenarist
G_Group>Movies,Ang_Lee
G_Group>Movies,JeffLau
G_Group>Movies,Nolan
G_Group>Movies,TSAIMingLian
G_Group>Movies,WongKarWai
G_Group>Movies,Artfilm
G_Group>Buzz_Group,Buzz_NewBd
G_Group>Buzz_Group,Buzz_Act
G_Group>Buzz_Group,Buzz_Service
G_Group>Buzz_Group,Buzz_Suggest
G_Group>Buzz_Group,Buzz_Theater
G_Group>Buzz_Group,Buzz_Enter
G_Group>Idols_6West,YoungArtist
G_Group>Idols_4KR,JYPnation
G_Group>Idols_4KR,KoreaStar
