sentence,睿智,狂野,活力,佛系,浪漫,善良,幽默
我先自我介紹好了,11,10,14,11,10,10,13
我是嗷嗷嗷的白海豹,11,10,14,11,10,10,13
然後現在就讀材料系大三,11,10,14,11,10,10,13
然後我平常興趣,11,10,14,11,10,10,13
就是休閒的話，大概就是耍廢、聽歌,11,10,14,11,10,10,13
我最近比較愛聽的是獨立樂團跟嘻哈,11,10,14,11,10,10,13
我滿愛出國的，就是我滿愛旅遊的,11,10,14,11,10,10,13
不管是在國內或在國外我都ok,11,10,14,11,10,10,13
我還滿愛逛街的,11,10,14,11,10,10,13
對我很愛逛街:)),11,10,14,11,10,10,13
有時候我可能就線上會逛啊,11,10,14,11,10,10,13
或是喜歡去市集啊,11,10,14,11,10,10,13
或是專櫃稍微逛一下,11,10,14,11,10,10,13
哪一個機構的？,11,10,14,11,10,10,13
我不是用那個機構，但海外志工我有做過,11,10,14,11,10,10,13
我以前是AISEC的，我是AISECER,11,10,14,11,10,10,13
所以國際志工略懂略懂,11,10,14,11,10,10,13
喔我當初是去德國,11,10,14,11,10,10,13
我是跑ＶＹＡ,11,10,14,11,10,10,13
他就是一個青少年的志工平台,11,10,14,11,10,10,13
欸我覺得那個還不錯，但我覺得他很挑專案,11,10,14,11,10,10,13
而且要很早就挑,11,10,14,11,10,10,13
因為它裡面的專案很多，但是有些計畫就不太適合…,11,10,14,11,10,10,13
就..比方說那時候我在跑，我就沒很喜歡那個計畫,11,10,14,11,10,10,13
我們去德國西北邊，靠近法國那邊,11,10,14,11,10,10,13
然後他因為那邊是礦區像是氣侯營climate camp,11,10,14,11,10,10,13
那他就是要提倡大家環保啊,11,10,14,11,10,10,13
他們要封鎖礦坑,11,10,14,11,10,10,13
就是他們要阻止能源公司去那邊採框,11,10,14,11,10,10,13
那比較有趣的東西是，我們那時候大概兩個禮拜的營隊吧,11,10,14,11,10,10,13
然後籌備完之後大概到倒數第二三天,11,10,14,11,10,10,13
我們大家就要去躺鐵軌,11,10,14,11,10,10,13
然後不然就是萬人包圍，就是把那個框圈包圍起來,11,10,14,11,10,10,13
警察會在周圍,11,10,14,11,10,10,13
對我們就是巷去立法院抗議的名眾,11,10,14,11,10,10,13
對對對我們就是去海外抗議,11,10,14,11,10,10,13
對幫他們抗議,11,10,14,11,10,10,13
然後差不多吧,11,10,14,11,10,10,13
看你想問什麼吧,11,10,14,11,10,10,13
你們要蓋房子？,11,10,14,11,10,10,13
是蓋哪一種？木屋？,11,10,14,11,10,10,13
